in s,C1 in V,C2 in V,C3 in V
-1.0900436E-02,1.883335289036E-02,-8.40184274083E-01,3.671594069606E-02
-1.0900252E-02,1.883112620752E-02,-8.39592127549E-01,3.671667421969E-02
-1.0900068E-02,1.882757099418E-02,-8.40542579489E-01,3.671679953380E-02
-1.0899884E-02,1.882685803066E-02,-8.39879782824E-01,3.671601352548E-02
-1.0899700E-02,1.882367451865E-02,-8.40209061233E-01,3.671601472223E-02
-1.0899516E-02,1.882634162627E-02,-8.40428436594E-01,3.671606858062E-02
-1.0899332E-02,1.882917954660E-02,-8.40087952046E-01,3.671596585108E-02
-1.0899148E-02,1.882832071933E-02,-8.40229655104E-01,3.671411419554E-02
-1.0898964E-02,1.882956947390E-02,-8.40740667144E-01,3.671485438278E-02
-1.0898780E-02,1.882494260281E-02,-8.40526288329E-01,3.671617832767E-02
-1.0898596E-02,1.882560417595E-02,-8.40235026507E-01,3.671640799182E-02
-1.0898412E-02,1.882357680661E-02,-8.40348429000E-01,3.671617199933E-02
